project_name,configuration,locality,2bhk_price,3bhk_price,3.5bhk_price,average_price,possession_date,updated_on,rera_flag,ready_to_move,builtup_area
housing-logo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Piramal Aranya,"2, 3, 4 BHK Flats",Byculla,₹3.72 C,₹4.73 C,N/A,₹51.39 K/sq.ft,"Dec, 2027",3w ago,Yes,No,N/A
"1 BHK Flat in Mande, Mumbai",[1 BHK Flat,Mande,N/A,N/A,N/A,N/A,N/A,4d ago,Yes,Yes,600 sq.ft
Lodha Bel Air,"1, 2, 3 BHK Flats",Jogeshwari West,₹1.9 C,₹2.68 C,N/A,₹30.05 K/sq.ft,"Jul, 2023",3w ago,Yes,No,N/A
Godrej Sky Terraces,"3, 4 BHK Flats",Anushakti Nagar,N/A,₹6.22 C,N/A,₹46.59 K/sq.ft,"Jun, 2029",3w ago,Yes,No,N/A
Agami Infinity Park 3,"2, 3 BHK Flats",Boisar,₹41 L - 49.46 L,₹45 L,N/A,₹5.7 K - ₹6.91 K/sq.ft,"Dec, 2029",2d ago,Yes,No,N/A
DLH Signature,"2, 3, 4 BHK Flats",Bandra West,₹2.47 C,₹7.41 C,N/A,₹67.48 K/sq.ft,"Dec, 2026",2d ago,Yes,No,N/A
S B Azura Height,2 BHK Flat,Jogeshwari West,₹2.03 C,N/A,N/A,₹28.98 K/sq.ft,"Dec, 2030",3w ago,Yes,No,N/A
Madar Signature,"1, 2 BHK Flats",Mira Road East,₹91.51 L - 99.76 L,N/A,N/A,₹18 K/sq.ft,"Dec, 2027",3w ago,Yes,No,N/A
Aakash Golden Jubilee Heights,"1 RK, 1, 2, 3, 6 BHK Flats",Jogeshwari West,₹1.55 C,₹2.35 C,N/A,₹24.86 K/sq.ft,"Dec, 2025",3w ago,Yes,No,N/A
71 Midtown,"1, 2, 3 BHK Flats",Chembur,₹1.74 C,₹2.4 C,N/A,₹28.42 K - ₹29.9 K/sq.ft,"Dec, 2025",1w ago,Yes,No,N/A
Adani Linkbay Residences Phase 1,"2, 3, 4 BHK Flats",Andheri West,₹2.96 C,₹3.9 C,N/A,₹38.02 K - 45 K/sq.ft,"Oct, 2028",3w ago,Yes,No,N/A
Pranami Bliss,"1, 2, 4 BHK Flats",Andheri West,₹1.74 C,N/A,N/A,₹29.7 K - 34.33 K/sq.ft,"Apr, 2027",3w ago,Yes,No,N/A
Paradigm Artteza,"2, 3, 3.5, 4 BHK Flats",Santacruz West,₹3.83 C,₹7.57 C,₹7.57 C,₹55.79 K/sq.ft,"May, 2026",2d ago,Yes,No,N/A
Ornata Sapphire,"1, 2 BHK Flats",Chembur,₹99.01 L - 1.27 C,N/A,N/A,₹24.41 K - 26 K/sq.ft,"Jun, 2025",3w ago,Yes,No,N/A
Alaya,"1, 2, 3 BHK Flats",Jogeshwari West,₹1.46 C,₹2.35 C,N/A,₹26.53 K/sq.ft,"Jun, 2027",1d ago,Yes,No,N/A
JSB Nakshatra Aazstha,"1, 2 BHK Flats",Vasai East,₹36.17 L - 46.87 L,N/A,N/A,₹9.08 K/sq.ft,"Dec, 2026",2d ago,Yes,No,N/A
Sanghvi Sapphire,"1.5, 2 BHK Flats",Jogeshwari West,₹1.63 C,N/A,N/A,₹29.91 K/sq.ft,"Mar, 2028",3w ago,Yes,No,N/A
I Stay Project,2 BHK Flat,Andheri East,₹1.57 C,N/A,N/A,₹25.7k/sq.ft,"Oct, 2028",1w ago,Yes,No,N/A
Paradigm Antalya,"1, 2, 3.5, 4.5 BHK Flats",Jogeshwari West,₹1.31 C,N/A,₹2.29 C,₹25.48 K/sq.ft,"Dec, 2036",4w ago,Yes,No,N/A
Sunteck Beach Residences,"2, 3 BHK Flats",Vasai West,₹99.5 L,₹1.4 C,N/A,₹15.56 K/sq.ft,"Dec, 2027",2d ago,Yes,No,N/A
Navnath Jayas,"1, 2, 3 BHK Flats",Goregaon East,₹1.64 C,₹2.51 C,N/A,₹30 K/sq.ft,"Dec, 2027",2d ago,Yes,No,N/A
Roswalt Zaiden,2 BHK Flat,Jogeshwari West,₹2 C,N/A,N/A,₹32.8 K/sq.ft,"Dec, 2028",2d ago,Yes,No,N/A
A H Avenue,"1, 2 BHK Flats",Jogeshwari West,₹1.19 C,N/A,N/A,₹24 K/sq.ft,"Dec, 2026",3w ago,Yes,No,N/A
SMGK Urbana Heights,"1, 2, 2.5 BHK Flats",Jogeshwari West,₹1.58 C,N/A,N/A,₹26.58 K - 30 K/sq.ft,"Jul, 2025",2d ago,Yes,No,N/A
PNK Tiara Hills Phase I Bldg No 3 5 And 2,"1, 2 BHK Flats",Mira Road East,₹66.16 L - 66.87 L,N/A,N/A,₹14.29 K/sq.ft,"Dec, 2025",3w ago,Yes,No,N/A
Paradigm Anantaara,"2, 3, 3.5, 5.5, 6 BHK Flats",Borivali West,₹2.38 C,₹3.86 C,₹4.83 C,₹34.06 K/sq.ft,"Dec, 2030",1w ago,Yes,No,N/A
Ruparel Panache,3 BHK Flat,Santacruz West,N/A,₹6.24 C,N/A,₹56.88 K/sq.ft,"Dec, 2025",3w ago,Yes,No,N/A
Excel Bellissima,"2.5, 3 BHK Flats",Bandra West,N/A,₹8.03 C,N/A,₹51.54 K/sq.ft,"Dec, 2028",3w ago,Yes,No,N/A
Sai Swaroop,"1, 3 BHK Flats",Chembur,N/A,₹2.18 C,N/A,₹27.86 K/sq.ft,"Dec, 2027",2d ago,Yes,No,N/A
Vikhroli Plus Gurukrupa Anantam,"1, 2 BHK Flats",Vikhroli East,₹1.14 C,N/A,N/A,₹21.58 K/sq.ft,"Dec, 2024",N/A,Yes,No,N/A
Flats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Gurukrupa The Marque,"2, 3, 3.5, 4, 5 BHK Flats",Bandra West,₹3.91 C,₹6.32 C,₹7.52 C,₹54.44 K/sq.ft,"Oct, 2028",N/A,Yes,No,N/A
Chandiwala Pearl Providence,"2, 3, 4 BHK Flats",Andheri West,₹1.63 C,₹2.1 C,N/A,₹25 K/sq.ft,"Dec, 2029",2d ago,Yes,No,N/A
I Stay Project,2 BHK Flat,Andheri East,₹1.57 C,N/A,N/A,₹25.7k/sq.ft,"Oct, 2028",1w ago,Yes,No,N/A
DLH Signature,"2, 3, 4 BHK Flats",Bandra West,₹2.47 C,₹7.41 C,N/A,₹67.48 K/sq.ft,"Dec, 2026",2d ago,Yes,No,N/A
RUPAREL VIVANZA,"2, 3 BHK Flats",Byculla,₹2.55 C,₹3.98 C,N/A,₹37.37 K - ₹40.16 K/sq.ft,"Nov, 2027",3w ago,Yes,No,N/A
71 Midtown,"1, 2, 3 BHK Flats",Chembur,₹1.74 C,₹2.4 C,N/A,₹28.42 K - ₹29.9 K/sq.ft,"Dec, 2025",1w ago,Yes,No,N/A
Paradigm Anantaara,"2, 3, 3.5, 5.5, 6 BHK Flats",Borivali West,₹2.38 C,₹3.86 C,₹4.83 C,₹34.06 K/sq.ft,"Dec, 2030",1w ago,Yes,No,N/A
Paradigm Antalya,"1, 2, 3.5, 4.5 BHK Flats",Jogeshwari West,₹1.31 C,N/A,₹2.29 C,₹25.48 K/sq.ft,"Dec, 2036",4w ago,Yes,No,N/A
"2 BHK Flat in Vikhroli East, Mumbai",[2 BHK Flat,Vikhroli East,N/A,N/A,N/A,N/A,N/A,6d ago,Yes,Yes,1250 sq.ft
SMGK Urbana Heights,"1, 2, 2.5 BHK Flats",Jogeshwari West,₹1.58 C,N/A,N/A,₹26.58 K - 30 K/sq.ft,"Jul, 2025",2d ago,Yes,No,N/A
A H Avenue,"1, 2 BHK Flats",Jogeshwari West,₹1.19 C,N/A,N/A,₹24 K/sq.ft,"Dec, 2026",3w ago,Yes,No,N/A
Aakash Golden Jubilee Heights,"1 RK, 1, 2, 3, 6 BHK Flats",Jogeshwari West,₹1.55 C,₹2.35 C,N/A,₹24.86 K/sq.ft,"Dec, 2025",3w ago,Yes,No,N/A
"1 BHK Flat in Santacruz East, Mumbai",[1 BHK Flat,Santacruz East,N/A,N/A,N/A,N/A,N/A,5d ago,No,Yes,495 sq.ft
Ruparel Panache,3 BHK Flat,Santacruz West,N/A,₹6.24 C,N/A,₹56.88 K/sq.ft,"Dec, 2025",3w ago,Yes,No,N/A
"1 BHK Flat in Virar West, Mumbai",[1 BHK Flat,Virar West,N/A,N/A,N/A,N/A,N/A,6d ago,Yes,Yes,689 sq.ft
"4 BHK Flat in Goregaon East, Mumbai",[4 BHK Flat,Goregaon East,N/A,N/A,N/A,N/A,N/A,3w ago,Yes,Yes,2250 sq.ft
Navnath Jayas,"1, 2, 3 BHK Flats",Goregaon East,₹1.64 C,₹2.51 C,N/A,₹30 K/sq.ft,"Dec, 2027",2d ago,Yes,No,N/A
"2 BHK Flat in Powai, Mumbai",[2 BHK Flat,Powai,N/A,N/A,N/A,N/A,N/A,4d ago,Yes,Yes,892 sq.ft
